Timestamp,BP_KWH,EV_KWH,GS_KWH,SURE_KWH,VM_KWH,ACE_KWH,ShowRoom_KWH
19-Jul-23 6:45 AM ICT,363.5,25.9,890.0,330.7,1343.0,1655.7,1455.2
19-Jul-23 7:00 AM ICT,365.7,25.9,890.3,330.8,1343.2,1655.7,1457.3
19-Jul-23 7:15 AM ICT,365.9,25.9,890.7,330.9,1343.5,1663.7,1459.5
19-Jul-23 7:30 AM ICT,364.1,25.9,891.4,331.0,1343.7,1671.7,1465.9
19-Jul-23 7:45 AM ICT,365.1,25.8,892.2,331.3,1344.0,1671.7,1477.8
19-Jul-23 8:00 AM ICT,367.6,25.8,894.7,331.5,1346.1,1679.7,1509.1
19-Jul-23 8:15 AM ICT,372.7,25.8,898.1,332.5,1348.4,1695.7,1545.6
19-Jul-23 8:30 AM ICT,378.4,25.8,905.0,334.0,1350.9,1711.7,1582.1
19-Jul-23 8:45 AM ICT,387.2,25.8,915.1,336.1,1355.5,1727.7,1620.1
19-Jul-23 9:00 AM ICT,395.9,25.9,924.5,337.9,1359.6,1751.7,1660.5
19-Jul-23 9:15 AM ICT,403.4,25.8,936.6,339.9,1365.5,1775.7,1701.4
19-Jul-23 9:30 AM ICT,410.8,25.8,951.2,342.0,1372.2,1807.7,1741.9
19-Jul-23 9:45 AM ICT,420.2,32.2,967.4,344.3,1378.7,1839.7,1789.4
19-Jul-23 10:00 AM ICT,429.9,38.4,981.9,346.4,1385.2,1863.7,1835.3
19-Jul-23 10:15 AM ICT,438.5,44.9,996.9,348.7,1391.2,1887.7,1881.7
19-Jul-23 10:30 AM ICT,451.9,51.0,1014.1,350.8,1397.6,1919.7,1926.5
19-Jul-23 10:45 AM ICT,463.3,53.5,1033.3,353.0,1404.3,1959.7,1968.7
19-Jul-23 11:00 AM ICT,472.1,54.1,1052.1,355.3,1410.5,2007.7,2008.9
19-Jul-23 11:15 AM ICT,485.6,54.2,1070.7,357.3,1416.5,2039.7,2049.6
19-Jul-23 11:30 AM ICT,494.8,54.2,1086.5,359.6,1422.5,2079.5,2089.1
19-Jul-23 11:45 AM ICT,506.0,54.2,1102.7,361.1,1429.2,2127.5,2126.8
19-Jul-23 12:00 PM ICT,513.8,54.2,1117.5,362.5,1435.6,2175.5,2165.8
19-Jul-23 12:15 PM ICT,516.2,54.0,1128.0,363.9,1441.6,2223.5,2203.3
19-Jul-23 12:30 PM ICT,520.3,54.0,1137.5,365.1,1447.1,2255.5,2239.2
19-Jul-23 12:45 PM ICT,524.4,53.8,1146.9,366.4,1452.9,2303.5,2275.5
19-Jul-23 1:00 PM ICT,528.5,53.8,1156.4,367.7,1458.5,2351.5,2310.2
19-Jul-23 1:15 PM ICT,536.0,53.9,1166.7,369.4,1464.3,2383.5,2347.0
19-Jul-23 1:30 PM ICT,544.9,53.9,1180.4,372.2,1470.1,2415.5,2386.5
19-Jul-23 1:45 PM ICT,556.6,53.9,1193.6,374.7,1476.4,2447.5,2426.7
19-Jul-23 2:00 PM ICT,567.5,54.0,1207.5,377.2,1482.2,2463.5,2469.9
19-Jul-23 2:15 PM ICT,576.2,53.8,1222.0,379.5,1489.2,2479.5,2512.7
19-Jul-23 2:30 PM ICT,584.9,53.8,1237.5,381.7,1496.4,2511.5,2553.5
19-Jul-23 2:45 PM ICT,595.3,53.8,1253.3,384.0,1503.3,2511.5,2594.7
19-Jul-23 3:00 PM ICT,606.4,53.8,1268.6,386.0,1509.1,2543.5,2635.8
19-Jul-23 3:15 PM ICT,615.5,53.9,1282.3,388.3,1514.4,2575.5,2675.0
19-Jul-23 3:30 PM ICT,622.1,53.9,1296.9,390.9,1519.2,2591.5,2714.5
19-Jul-23 3:45 PM ICT,626.5,53.9,1311.4,392.8,1524.5,2623.5,2753.4
19-Jul-23 4:00 PM ICT,634.4,53.9,1324.7,395.2,1529.5,2639.5,2793.9
19-Jul-23 4:15 PM ICT,643.1,54.0,1337.1,397.1,1534.1,2671.5,2833.6
19-Jul-23 4:30 PM ICT,648.5,54.0,1346.3,399.6,1538.4,2687.5,2874.5
19-Jul-23 4:45 PM ICT,661.3,53.8,1355.1,401.6,1543.0,2703.5,2913.6
19-Jul-23 5:00 PM ICT,665.7,53.8,1363.3,403.3,1547.4,2719.5,2947.8
19-Jul-23 5:15 PM ICT,666.8,53.8,1367.7,403.6,1549.5,2735.5,2966.0
19-Jul-23 5:30 PM ICT,667.1,53.8,1368.8,403.7,1549.8,2735.5,2978.1
19-Jul-23 5:45 PM ICT,667.4,53.8,1369.3,403.9,1550.1,2735.5,2984.6
19-Jul-23 6:00 PM ICT,667.7,53.8,1369.8,404.1,1550.4,2751.5,2988.4
19-Jul-23 6:15 PM ICT,667.9,53.8,1370.3,404.3,1550.7,2751.5,2991.3
19-Jul-23 6:30 PM ICT,668.0,53.8,1370.8,404.5,1551.0,2751.5,2994.1
19-Jul-23 6:45 PM ICT,664.1,53.8,1371.4,404.8,1551.3,2739.1,2997.3
19-Jul-23 7:00 PM ICT,664.2,53.8,1372.1,405.2,1551.9,2745.9,3000.4
19-Jul-23 7:15 PM ICT,664.4,53.8,1372.9,405.6,1552.4,2751.0,3003.4
19-Jul-23 7:30 PM ICT,664.5,53.8,1373.6,405.9,1553.0,2741.8,3006.5
19-Jul-23 7:45 PM ICT,664.6,53.9,1374.4,406.3,1553.6,2738.2,3009.7
19-Jul-23 8:00 PM ICT,664.8,53.9,1375.1,406.6,1554.1,2741.6,3012.8
19-Jul-23 8:15 PM ICT,664.9,53.9,1375.8,407.0,1554.7,2749.7,3016.5
19-Jul-23 8:30 PM ICT,669.0,53.9,1376.6,407.4,1555.3,2740.4,3019.3
19-Jul-23 8:45 PM ICT,669.2,53.9,1377.3,407.6,1555.8,2750.6,3022.2
19-Jul-23 9:00 PM ICT,669.3,53.9,1378.1,407.8,1556.4,2742.5,3025.0
19-Jul-23 9:15 PM ICT,669.4,53.9,1378.8,408.0,1556.9,2747.1,3027.9
19-Jul-23 9:30 PM ICT,669.6,53.9,1379.5,408.2,1557.5,2736.3,3030.7
19-Jul-23 9:45 PM ICT,669.7,53.9,1380.3,408.5,1558.1,2749.8,3033.6
19-Jul-23 10:00 PM ICT,669.8,53.9,1381.0,408.7,1558.6,2739.7,3036.5
19-Jul-23 10:15 PM ICT,670.0,53.9,1381.8,408.9,1559.2,2744.1,3039.7
19-Jul-23 10:30 PM ICT,670.1,54.0,1382.5,409.1,1559.7,2750.8,3042.3
19-Jul-23 10:45 PM ICT,670.2,54.0,1383.2,409.3,1560.3,2727.8,3044.9
19-Jul-23 11:00 PM ICT,670.3,54.0,1383.9,409.5,1560.8,2720.1,3047.5
19-Jul-23 11:15 PM ICT,670.5,54.0,1384.6,409.8,1561.4,2727.8,3050.2
19-Jul-23 11:30 PM ICT,670.6,54.0,1385.4,410.0,1562.0,2731.5,3053.0
19-Jul-23 11:45 PM ICT,670.7,54.0,1386.1,410.2,1562.5,2722.0,3055.7
20-Jul-23 12:00 AM ICT,670.9,53.8,1386.9,410.4,1563.1,2735.6,3058.7
20-Jul-23 12:15 AM ICT,671.0,53.8,1387.6,410.6,1563.7,2722.6,3061.6
20-Jul-23 12:30 AM ICT,671.1,53.8,1388.3,410.8,1564.3,2728.6,3064.3
20-Jul-23 12:45 AM ICT,671.3,53.8,1389.0,410.9,1564.8,2734.0,3066.9
20-Jul-23 1:00 AM ICT,671.4,53.8,1389.7,411.1,1565.4,2728.8,3069.5
20-Jul-23 1:15 AM ICT,671.5,53.8,1390.3,411.3,1566.0,2733.7,3072.1
20-Jul-23 1:30 AM ICT,671.6,53.8,1391.0,411.4,1566.5,2725.9,3074.7
20-Jul-23 1:45 AM ICT,671.8,53.8,1391.7,411.6,1567.1,2729.3,3077.3
20-Jul-23 2:00 AM ICT,671.9,53.8,1392.3,411.8,1567.7,2726.7,3079.6
20-Jul-23 2:15 AM ICT,672.0,53.8,1392.9,412.0,1568.2,2733.3,3081.9
20-Jul-23 2:30 AM ICT,668.2,53.8,1393.5,412.1,1568.8,2720.4,3084.2
20-Jul-23 2:45 AM ICT,668.5,53.8,1394.1,412.3,1569.3,2727.7,3086.5
20-Jul-23 3:00 AM ICT,668.8,53.8,1394.7,412.5,1569.9,2735.4,3088.7
20-Jul-23 3:15 AM ICT,669.1,53.9,1395.3,412.6,1570.4,2729.1,3091.0
20-Jul-23 3:30 AM ICT,669.4,53.9,1395.9,412.8,1571.0,2735.6,3093.2
20-Jul-23 3:45 AM ICT,673.8,53.9,1396.5,413.0,1571.5,2722.9,3095.5
20-Jul-23 4:00 AM ICT,674.0,53.9,1397.1,413.2,1572.1,2727.9,3097.8
20-Jul-23 4:15 AM ICT,674.1,53.9,1397.7,413.3,1572.6,2726.8,3100.1
20-Jul-23 4:30 AM ICT,674.3,53.9,1398.3,413.5,1573.2,2730.9,3102.5
20-Jul-23 4:45 AM ICT,674.4,53.9,1398.9,413.7,1573.7,2735.7,3104.8
20-Jul-23 5:00 AM ICT,674.5,53.9,1399.5,413.9,1574.2,2725.1,3107.1
20-Jul-23 5:15 AM ICT,674.6,53.9,1392.0,414.2,1574.7,2720.9,3109.5
20-Jul-23 5:30 AM ICT,674.8,53.9,1400.5,414.3,1575.1,2724.4,3111.7
20-Jul-23 5:45 AM ICT,674.8,53.9,1400.8,414.5,1575.4,2732.0,3114.0
20-Jul-23 6:00 AM ICT,674.9,53.9,1401.1,414.6,1575.6,2727.0,3116.6
20-Jul-23 6:15 AM ICT,675.0,53.9,1401.5,414.7,1575.8,2727.0,3119.2
20-Jul-23 6:30 AM ICT,675.1,54.0,1401.8,414.8,1576.0,2727.0,3121.6
20-Jul-23 6:45 AM ICT,675.3,54.0,1402.2,414.9,1576.2,2743.0,3124.5
20-Jul-23 7:00 AM ICT,675.5,54.0,1402.6,415.0,1576.4,2743.0,3127.3
20-Jul-23 7:15 AM ICT,675.7,54.0,1403.1,415.2,1576.6,2759.0,3129.8
20-Jul-23 7:30 AM ICT,675.9,58.3,1403.8,415.3,1576.9,2759.0,3140.5
20-Jul-23 7:45 AM ICT,673.6,64.5,1404.8,415.5,1577.3,2791.0,3159.5
20-Jul-23 8:00 AM ICT,679.6,70.1,1406.6,415.7,1578.5,2807.0,3198.3
20-Jul-23 8:15 AM ICT,683.6,74.0,1412.1,417.0,1580.6,2839.0,3237.7
20-Jul-23 8:30 AM ICT,684.9,74.4,1418.9,419.6,1582.7,2839.6,3277.6
20-Jul-23 8:45 AM ICT,695.9,74.5,1426.1,422.0,1585.3,2839.6,3323.9
20-Jul-23 9:00 AM ICT,703.5,74.0,1436.6,424.0,1590.5,2856.6,3369.3
20-Jul-23 9:15 AM ICT,711.5,74.1,1447.8,425.8,1597.9,2872.6,3414.8
20-Jul-23 9:30 AM ICT,723.2,74.1,1459.5,427.4,1603.6,2888.6,3458.3
20-Jul-23 9:45 AM ICT,728.9,74.1,1474.1,428.9,1609.9,2904.6,3499.2
20-Jul-23 10:00 AM ICT,740.2,74.1,1487.0,430.4,1615.2,2904.6,3540.7
20-Jul-23 10:15 AM ICT,755.0,74.2,1499.7,432.3,1620.9,2920.6,3581.2
20-Jul-23 10:30 AM ICT,766.7,74.2,1512.2,434.5,1625.8,2922.4,3623.3
20-Jul-23 10:45 AM ICT,773.2,74.3,1525.5,436.5,1631.1,2925.1,3662.5
20-Jul-23 11:00 AM ICT,787.2,74.3,1538.2,438.7,1636.6,2941.1,3700.2
20-Jul-23 11:15 AM ICT,795.6,74.4,1552.7,440.6,1641.7,2941.1,3738.6
20-Jul-23 11:30 AM ICT,802.0,74.4,1566.3,443.0,1646.8,2957.1,3776.1
20-Jul-23 11:45 AM ICT,812.9,74.5,1583.8,445.3,1651.5,2973.1,3811.8
20-Jul-23 12:00 PM ICT,821.2,74.5,1599.7,446.8,1657.4,3005.1,3847.5
20-Jul-23 12:15 PM ICT,825.5,74.0,1609.7,448.2,1662.4,3021.1,3881.8
20-Jul-23 12:30 PM ICT,829.5,74.0,1616.2,449.5,1667.1,3053.1,3915.0
20-Jul-23 12:45 PM ICT,834.0,74.1,1622.8,450.8,1672.0,3101.1,3949.3
20-Jul-23 1:00 PM ICT,838.5,74.1,1629.1,452.3,1676.4,3149.1,3981.6
20-Jul-23 1:15 PM ICT,845.9,74.1,1638.4,453.9,1681.6,3181.1,4020.5
20-Jul-23 1:30 PM ICT,857.7,74.2,1652.1,455.8,1687.5,3213.1,4058.3
