Timestamp,BP_KWH,EV_KWH,GS_KWH,SURE_KWH,VM_KWH,ACE_KWH,ShowRoom_KWH
2023-07-18,,,,,,,
2023-07-19,74.69999999999982,28.500000000000004,511.4999999999999,84.09999999999997,232.9000000000001,1096.0,1554.6999999999998
2023-07-20,95.10000000000014,44.2,489.20000000000005,80.80000000000001,237.5,830.8000000000002,1554.0
2023-07-21,112.09999999999991,0.5,527.0000000000002,87.29999999999995,240.5,863.6999999999998,1465.5999999999995
2023-07-22,70.79999999999973,47.69999999999999,590.8999999999996,87.5,290.1999999999998,1180.0,1534.0
2023-07-23,12.30000000000041,32.70000000000002,52.600000000000364,34.10000000000002,50.600000000000364,1248.6000000000004,886.5000000000009
2023-07-24,35.899999999999864,0.6999999999999886,469.39999999999964,58.89999999999998,238.19999999999982,1092.3999999999996,1136.1000000000004
2023-07-25,106.5,28.0,398.2000000000003,63.5,185.9000000000001,1055.0,1186.0
2023-07-26,65.59999999999991,63.19999999999999,434.5999999999999,72.0,226.69999999999982,1281.6000000000004,1344.0999999999985
2023-07-27,-9.0,0.5,71.0,14.900000000000091,42.30000000000018,226.60000000000036,19.600000000000364
2023-07-28,,,,,,,
2023-07-29,,,,,,,
2023-07-30,,,,,,,
2023-07-31,,,,,,,
2023-08-01,,,,,,,
2023-08-02,,,,,,,
2023-08-03,,,,,,,
2023-08-04,,,,,,,
2023-08-05,,,,,,,
2023-08-06,,,,,,,
2023-08-07,,,,,,,
2023-08-08,56.399999999999636,24.799999999999955,389.0,84.59999999999991,198.40000000000055,894.0,1154.9000000000015
2023-08-09,30.899999999999636,35.799999999999955,426.10000000000036,85.60000000000014,223.69999999999982,1154.300000000003,1188.2999999999993
2023-08-10,15.600000000000364,64.10000000000002,449.5,86.59999999999991,270.5,1404.2999999999993,1314.4000000000015
2023-08-11,24.0,39.80000000000007,422.10000000000036,87.79999999999995,225.10000000000036,1155.3999999999978,1438.2000000000007
2023-08-12,59.79999999999927,0.2999999999999545,86.89999999999964,62.100000000000136,75.09999999999945,1407.6000000000022,912.0999999999949
2023-08-13,69.40000000000055,27.600000000000023,52.399999999999636,18.0,33.69999999999982,1150.3999999999978,799.8000000000065
2023-08-14,85.80000000000018,43.0,450.0,79.19999999999982,233.5,1154.2000000000007,1373.699999999997
2023-08-15,81.10000000000036,43.5,440.5,76.70000000000027,238.5,1151.7000000000007,1383.0
2023-08-16,-17.100000000000364,36.30000000000007,474.8000000000011,79.79999999999973,291.2000000000007,1022.9000000000015,1352.6000000000022
2023-08-17,27.799999999999272,58.299999999999955,492.6999999999989,81.90000000000009,282.59999999999945,1273.5,1432.5999999999985
2023-08-18,4.199999999999818,72.59999999999991,521.6000000000004,78.30000000000018,281.5,1410.5999999999985,1563.4999999999927
2023-08-19,69.20000000000073,15.600000000000136,482.60000000000036,85.19999999999982,249.69999999999982,1029.2000000000007,1541.5
2023-08-20,59.400000000000546,42.0,47.0,32.59999999999991,38.100000000000364,1272.3999999999978,816.8000000000102
2023-08-21,64.29999999999836,22.59999999999991,476.5,66.09999999999991,205.60000000000036,1028.7000000000044,1348.5
2023-08-22,-17.099999999998545,7.5,530.1000000000004,72.0,294.2999999999993,761.0,1361.699999999997
2023-08-23,-2.7000000000007276,1.599999999999909,542.3999999999996,79.10000000000036,276.0,1024.199999999997,1320.0999999999985
2023-08-24,109.20000000000073,1.400000000000091,526.3999999999996,72.19999999999982,178.89999999999964,773.3000000000029,1261.5999999999985
2023-08-25,113.49999999999818,26.90000000000009,578.1000000000004,90.90000000000009,222.5,1011.1999999999971,1293.199999999997
2023-08-26,107.00000000000182,1.699999999999818,554.7999999999993,90.0,276.40000000000146,784.6999999999971,1750.0
2023-08-27,35.29999999999927,85.90000000000009,42.30000000000109,26.0,32.79999999999927,97.0,901.7000000000044
2023-08-28,56.899999999999636,2.099999999999909,484.39999999999964,83.59999999999991,228.20000000000073,2202.9000000000015,1397.0999999999985
2023-08-29,88.40000000000146,1.7000000000000455,386.6999999999989,68.80000000000018,187.59999999999854,482.5,1152.199999999997
2023-08-30,158.0,34.299999999999955,379.0,71.39999999999964,160.3000000000011,-44.400000000001455,1145.6000000000058
2023-08-31,86.39999999999782,23.40000000000009,462.7999999999993,81.20000000000027,234.1999999999989,589.4000000000015,1285.7999999999956
2023-09-01,95.30000000000109,-6.2000000000000455,418.2000000000007,76.69999999999982,194.0,996.4000000000015,1295.800000000003
2023-09-02,,,,,,,
2023-09-03,,,,,,,
2023-09-04,,,,,,,
2023-09-05,68.0,28.700000000000045,444.5,71.0,225.79999999999927,250.09999999999854,1194.300000000003
2023-09-06,61.0,1.400000000000091,387.1000000000022,71.59999999999991,203.5,511.5,1122.5
2023-09-07,18.200000000000728,1.3999999999998636,370.1999999999971,62.80000000000018,149.5,752.0,967.1999999999971
2023-09-08,,,,,,,
2023-09-09,,,,,,,
2023-09-10,,,,,,,
2023-09-11,,,,,,,
2023-09-12,,,,,,,
2023-09-13,,,,,,,
2023-09-14,,,,,,,
2023-09-15,,,,,,,
2023-09-16,74.0,-6.2000000000000455,384.59999999999854,67.19999999999982,128.89999999999964,-23.5,896.5
2023-09-17,31.399999999999636,0.7999999999999545,26.200000000000728,21.400000000000546,18.100000000000364,-232.0,516.6999999999825
2023-09-18,92.60000000000036,55.100000000000136,454.7000000000007,79.80000000000018,142.39999999999964,-101.29999999999563,1132.800000000003
2023-09-19,24.50000000000182,1.2999999999999545,487.8999999999978,65.0,177.79999999999927,-171.0,958.4000000000087
