Timestamp,VM_KW(kW)
16-Oct-23 11:00 AM ICT,18.2
16-Oct-23 11:05 AM ICT,20.1
16-Oct-23 11:10 AM ICT,19.9
16-Oct-23 11:15 AM ICT,19.2
16-Oct-23 11:20 AM ICT,18.6
16-Oct-23 11:25 AM ICT,18.2
16-Oct-23 11:30 AM ICT,18.8
16-Oct-23 11:35 AM ICT,19.9
16-Oct-23 11:40 AM ICT,20.4
16-Oct-23 11:45 AM ICT,18.7
16-Oct-23 11:50 AM ICT,18.4
16-Oct-23 11:55 AM ICT,19.8
16-Oct-23 12:00 PM ICT,19.5
16-Oct-23 12:05 PM ICT,18.2
16-Oct-23 12:10 PM ICT,19.7
16-Oct-23 12:15 PM ICT,19.0
16-Oct-23 12:20 PM ICT,18.3
16-Oct-23 12:25 PM ICT,18.8
16-Oct-23 12:30 PM ICT,18.8
16-Oct-23 12:35 PM ICT,18.3
16-Oct-23 12:40 PM ICT,18.0
16-Oct-23 12:45 PM ICT,19.2
16-Oct-23 12:50 PM ICT,18.3
16-Oct-23 12:55 PM ICT,18.1
16-Oct-23 1:00 PM ICT,17.9
16-Oct-23 1:05 PM ICT,17.7
16-Oct-23 1:10 PM ICT,19.1
16-Oct-23 1:15 PM ICT,18.9
16-Oct-23 1:20 PM ICT,18.4
16-Oct-23 1:25 PM ICT,20.8
16-Oct-23 1:30 PM ICT,19.3
16-Oct-23 1:35 PM ICT,19.4
16-Oct-23 1:40 PM ICT,20.3
16-Oct-23 1:45 PM ICT,20.5
16-Oct-23 1:50 PM ICT,21.5
16-Oct-23 1:55 PM ICT,19.2
16-Oct-23 2:00 PM ICT,17.7
16-Oct-23 2:05 PM ICT,19.6
16-Oct-23 2:10 PM ICT,21.5
16-Oct-23 2:15 PM ICT,20.5
16-Oct-23 2:20 PM ICT,19.3
16-Oct-23 2:25 PM ICT,18.8
16-Oct-23 2:30 PM ICT,19.7
16-Oct-23 2:35 PM ICT,22.4
16-Oct-23 2:40 PM ICT,23.4
16-Oct-23 2:45 PM ICT,21.4
16-Oct-23 2:50 PM ICT,20.5
16-Oct-23 2:55 PM ICT,21.2
16-Oct-23 3:00 PM ICT,22.2
16-Oct-23 3:05 PM ICT,20.5
16-Oct-23 3:10 PM ICT,21.7
16-Oct-23 3:15 PM ICT,21.4
16-Oct-23 3:20 PM ICT,20.4
16-Oct-23 3:25 PM ICT,18.7
16-Oct-23 3:30 PM ICT,21.1
16-Oct-23 3:35 PM ICT,21.4
16-Oct-23 3:40 PM ICT,20.9
16-Oct-23 3:45 PM ICT,19.3
16-Oct-23 3:50 PM ICT,18.5
16-Oct-23 3:55 PM ICT,20.4
16-Oct-23 4:00 PM ICT,17.2
16-Oct-23 4:05 PM ICT,17.8
16-Oct-23 4:10 PM ICT,18.4
16-Oct-23 4:15 PM ICT,17.3
16-Oct-23 4:20 PM ICT,15.6
16-Oct-23 4:25 PM ICT,17.3
16-Oct-23 4:30 PM ICT,16.3
16-Oct-23 4:35 PM ICT,15.9
16-Oct-23 4:40 PM ICT,13.7
16-Oct-23 4:45 PM ICT,13.9
16-Oct-23 4:50 PM ICT,15.3
16-Oct-23 4:55 PM ICT,14.1
16-Oct-23 5:00 PM ICT,12.2
16-Oct-23 5:05 PM ICT,9.6
16-Oct-23 5:10 PM ICT,6.7
16-Oct-23 5:15 PM ICT,3.4
16-Oct-23 5:20 PM ICT,2.1
16-Oct-23 5:25 PM ICT,1.9
16-Oct-23 5:30 PM ICT,1.3
16-Oct-23 5:35 PM ICT,1.3
16-Oct-23 5:40 PM ICT,1.3
16-Oct-23 5:45 PM ICT,1.2
16-Oct-23 5:50 PM ICT,1.2
16-Oct-23 5:55 PM ICT,1.1
16-Oct-23 6:00 PM ICT,2.3
16-Oct-23 6:05 PM ICT,2.3
16-Oct-23 6:10 PM ICT,2.3
16-Oct-23 6:15 PM ICT,2.3
16-Oct-23 6:20 PM ICT,2.2
16-Oct-23 6:25 PM ICT,2.3
16-Oct-23 6:30 PM ICT,2.3
16-Oct-23 6:35 PM ICT,2.4
16-Oct-23 6:40 PM ICT,2.4
16-Oct-23 6:45 PM ICT,2.4
16-Oct-23 6:50 PM ICT,2.6
16-Oct-23 6:55 PM ICT,2.7
16-Oct-23 7:00 PM ICT,2.9
16-Oct-23 7:05 PM ICT,2.6
16-Oct-23 7:10 PM ICT,2.8
16-Oct-23 7:15 PM ICT,2.6
16-Oct-23 7:20 PM ICT,2.6
16-Oct-23 7:25 PM ICT,2.6
16-Oct-23 7:30 PM ICT,2.6
16-Oct-23 7:35 PM ICT,2.5
16-Oct-23 7:40 PM ICT,2.4
16-Oct-23 7:45 PM ICT,2.4
16-Oct-23 7:50 PM ICT,2.5
16-Oct-23 7:55 PM ICT,2.5
16-Oct-23 8:00 PM ICT,2.4
16-Oct-23 8:05 PM ICT,2.5
16-Oct-23 8:10 PM ICT,2.5
16-Oct-23 8:15 PM ICT,2.6
16-Oct-23 8:20 PM ICT,2.5
16-Oct-23 8:25 PM ICT,2.5
16-Oct-23 8:30 PM ICT,2.6
16-Oct-23 8:35 PM ICT,2.6
16-Oct-23 8:40 PM ICT,2.6
16-Oct-23 8:45 PM ICT,2.5
16-Oct-23 8:50 PM ICT,2.5
16-Oct-23 8:55 PM ICT,2.4
16-Oct-23 9:00 PM ICT,2.5
16-Oct-23 9:05 PM ICT,2.4
16-Oct-23 9:10 PM ICT,2.4
16-Oct-23 9:15 PM ICT,2.4
16-Oct-23 9:20 PM ICT,2.4
16-Oct-23 9:25 PM ICT,2.4
16-Oct-23 9:30 PM ICT,2.4
16-Oct-23 9:35 PM ICT,2.4
16-Oct-23 9:40 PM ICT,2.4
16-Oct-23 9:45 PM ICT,2.4
16-Oct-23 9:50 PM ICT,2.6
16-Oct-23 9:55 PM ICT,2.5
16-Oct-23 10:00 PM ICT,2.5
16-Oct-23 10:05 PM ICT,2.4
16-Oct-23 10:10 PM ICT,2.4
16-Oct-23 10:15 PM ICT,2.4
16-Oct-23 10:20 PM ICT,2.4
16-Oct-23 10:25 PM ICT,2.4
16-Oct-23 10:30 PM ICT,2.3
16-Oct-23 10:35 PM ICT,2.4
16-Oct-23 10:40 PM ICT,2.4
16-Oct-23 10:45 PM ICT,2.4
16-Oct-23 10:50 PM ICT,2.3
16-Oct-23 10:55 PM ICT,2.2
16-Oct-23 11:00 PM ICT,2.2
16-Oct-23 11:05 PM ICT,2.2
16-Oct-23 11:10 PM ICT,2.3
16-Oct-23 11:15 PM ICT,2.3
16-Oct-23 11:20 PM ICT,2.3
16-Oct-23 11:25 PM ICT,2.2
16-Oct-23 11:30 PM ICT,1.9
16-Oct-23 11:35 PM ICT,2.0
16-Oct-23 11:40 PM ICT,2.1
16-Oct-23 11:45 PM ICT,2.1
16-Oct-23 11:50 PM ICT,2.1
16-Oct-23 11:55 PM ICT,2.1
17-Oct-23 12:00 AM ICT,2.1
17-Oct-23 12:05 AM ICT,2.1
17-Oct-23 12:10 AM ICT,2.1
17-Oct-23 12:15 AM ICT,2.1
17-Oct-23 12:20 AM ICT,2.1
17-Oct-23 12:25 AM ICT,2.1
17-Oct-23 12:30 AM ICT,2.1
17-Oct-23 12:35 AM ICT,2.1
17-Oct-23 12:40 AM ICT,1.9
17-Oct-23 12:45 AM ICT,1.9
17-Oct-23 12:50 AM ICT,1.9
17-Oct-23 12:55 AM ICT,1.9
17-Oct-23 1:00 AM ICT,1.9
17-Oct-23 1:05 AM ICT,1.9
17-Oct-23 1:10 AM ICT,1.9
17-Oct-23 1:15 AM ICT,1.9
17-Oct-23 1:20 AM ICT,1.9
17-Oct-23 1:25 AM ICT,1.9
17-Oct-23 1:30 AM ICT,1.9
17-Oct-23 1:35 AM ICT,1.8
17-Oct-23 1:40 AM ICT,1.8
17-Oct-23 1:45 AM ICT,1.9
17-Oct-23 1:50 AM ICT,1.9
17-Oct-23 1:55 AM ICT,2.0
17-Oct-23 2:00 AM ICT,2.0
