Timestamp,VM_KW(kW)
16-Dec-23 5:40 AM ICT,0.8
16-Dec-23 5:45 AM ICT,0.9
16-Dec-23 5:50 AM ICT,0.9
16-Dec-23 5:55 AM ICT,0.9
16-Dec-23 6:00 AM ICT,0.8
16-Dec-23 6:05 AM ICT,0.8
16-Dec-23 6:10 AM ICT,0.9
16-Dec-23 6:15 AM ICT,1.1
16-Dec-23 6:20 AM ICT,1.1
16-Dec-23 6:25 AM ICT,1.1
16-Dec-23 6:30 AM ICT,1.0
16-Dec-23 6:35 AM ICT,1.1
16-Dec-23 6:40 AM ICT,1.1
16-Dec-23 6:45 AM ICT,1.1
16-Dec-23 6:50 AM ICT,0.8
16-Dec-23 6:55 AM ICT,0.8
16-Dec-23 7:00 AM ICT,0.7
16-Dec-23 7:05 AM ICT,0.6
16-Dec-23 7:10 AM ICT,0.6
16-Dec-23 7:15 AM ICT,0.6
16-Dec-23 7:20 AM ICT,0.6
16-Dec-23 7:25 AM ICT,0.7
16-Dec-23 7:30 AM ICT,0.7
16-Dec-23 7:35 AM ICT,0.7
16-Dec-23 7:40 AM ICT,0.7
16-Dec-23 7:45 AM ICT,0.7
16-Dec-23 7:50 AM ICT,0.8
16-Dec-23 7:55 AM ICT,0.8
16-Dec-23 8:00 AM ICT,3.3
16-Dec-23 8:05 AM ICT,3.9
16-Dec-23 8:10 AM ICT,5.3
16-Dec-23 8:15 AM ICT,10.6
16-Dec-23 8:20 AM ICT,10.9
16-Dec-23 8:25 AM ICT,10.5
16-Dec-23 8:30 AM ICT,11.9
16-Dec-23 8:35 AM ICT,13.3
16-Dec-23 8:40 AM ICT,17.5
16-Dec-23 8:45 AM ICT,18.4
16-Dec-23 8:50 AM ICT,24.5
16-Dec-23 8:55 AM ICT,28.6
16-Dec-23 9:00 AM ICT,17.8
16-Dec-23 9:05 AM ICT,18.6
16-Dec-23 9:10 AM ICT,17.6
16-Dec-23 9:15 AM ICT,16.0
16-Dec-23 9:20 AM ICT,16.0
16-Dec-23 9:25 AM ICT,16.1
16-Dec-23 9:30 AM ICT,16.2
16-Dec-23 9:35 AM ICT,15.3
16-Dec-23 9:40 AM ICT,16.3
16-Dec-23 9:45 AM ICT,16.5
16-Dec-23 9:50 AM ICT,17.3
16-Dec-23 9:55 AM ICT,17.4
16-Dec-23 10:00 AM ICT,18.3
16-Dec-23 10:05 AM ICT,18.6
16-Dec-23 10:10 AM ICT,19.1
16-Dec-23 10:15 AM ICT,17.3
16-Dec-23 10:20 AM ICT,16.8
16-Dec-23 10:25 AM ICT,18.3
16-Dec-23 10:30 AM ICT,20.0
16-Dec-23 10:35 AM ICT,20.3
16-Dec-23 10:40 AM ICT,19.2
16-Dec-23 10:45 AM ICT,18.8
16-Dec-23 10:50 AM ICT,20.1
16-Dec-23 10:55 AM ICT,18.5
16-Dec-23 11:00 AM ICT,20.5
16-Dec-23 11:05 AM ICT,22.8
16-Dec-23 11:10 AM ICT,21.8
16-Dec-23 11:15 AM ICT,24.6
16-Dec-23 11:20 AM ICT,22.8
16-Dec-23 11:25 AM ICT,22.1
16-Dec-23 11:30 AM ICT,23.4
16-Dec-23 11:35 AM ICT,23.3
16-Dec-23 11:40 AM ICT,22.6
16-Dec-23 11:45 AM ICT,23.9
16-Dec-23 11:50 AM ICT,21.9
16-Dec-23 11:55 AM ICT,25.0
16-Dec-23 12:00 PM ICT,25.8
16-Dec-23 12:05 PM ICT,25.3
16-Dec-23 12:10 PM ICT,24.7
16-Dec-23 12:15 PM ICT,24.1
16-Dec-23 12:20 PM ICT,22.4
16-Dec-23 12:25 PM ICT,21.6
16-Dec-23 12:30 PM ICT,20.4
16-Dec-23 12:35 PM ICT,19.6
16-Dec-23 12:40 PM ICT,18.5
16-Dec-23 12:45 PM ICT,19.8
16-Dec-23 12:50 PM ICT,20.5
16-Dec-23 12:55 PM ICT,21.2
16-Dec-23 1:00 PM ICT,22.1
16-Dec-23 1:05 PM ICT,22.9
16-Dec-23 1:10 PM ICT,22.7
16-Dec-23 1:15 PM ICT,22.1
16-Dec-23 1:20 PM ICT,23.7
16-Dec-23 1:25 PM ICT,23.9
16-Dec-23 1:30 PM ICT,23.8
16-Dec-23 1:35 PM ICT,24.3
16-Dec-23 1:40 PM ICT,21.8
16-Dec-23 1:45 PM ICT,21.8
16-Dec-23 1:50 PM ICT,22.7
16-Dec-23 1:55 PM ICT,22.3
16-Dec-23 2:00 PM ICT,24.5
16-Dec-23 2:05 PM ICT,24.7
16-Dec-23 2:10 PM ICT,26.4
16-Dec-23 2:15 PM ICT,25.1
16-Dec-23 2:20 PM ICT,24.5
16-Dec-23 2:25 PM ICT,26.5
16-Dec-23 2:30 PM ICT,25.9
16-Dec-23 2:35 PM ICT,25.8
16-Dec-23 2:40 PM ICT,25.9
16-Dec-23 2:45 PM ICT,26.6
16-Dec-23 2:50 PM ICT,26.4
16-Dec-23 2:55 PM ICT,28.8
16-Dec-23 3:00 PM ICT,30.9
