Timestamp,VM_KW(kW)
16-Aug-23 10:30 PM ICT,2.3
16-Aug-23 10:35 PM ICT,2.3
16-Aug-23 10:40 PM ICT,2.2
16-Aug-23 10:45 PM ICT,2.0
16-Aug-23 10:50 PM ICT,2.0
16-Aug-23 10:55 PM ICT,2.1
16-Aug-23 11:00 PM ICT,2.1
16-Aug-23 11:05 PM ICT,2.2
16-Aug-23 11:10 PM ICT,2.2
16-Aug-23 11:15 PM ICT,2.1
16-Aug-23 11:20 PM ICT,2.1
16-Aug-23 11:25 PM ICT,2.1
16-Aug-23 11:30 PM ICT,2.1
16-Aug-23 11:35 PM ICT,2.0
16-Aug-23 11:40 PM ICT,2.1
16-Aug-23 11:45 PM ICT,2.2
16-Aug-23 11:50 PM ICT,2.2
16-Aug-23 11:55 PM ICT,2.2
17-Aug-23 12:00 AM ICT,2.2
17-Aug-23 12:05 AM ICT,2.2
17-Aug-23 12:10 AM ICT,2.3
17-Aug-23 12:15 AM ICT,2.2
17-Aug-23 12:20 AM ICT,2.1
17-Aug-23 12:25 AM ICT,2.0
17-Aug-23 12:30 AM ICT,1.9
17-Aug-23 12:35 AM ICT,1.9
17-Aug-23 12:40 AM ICT,2.0
17-Aug-23 12:45 AM ICT,2.0
17-Aug-23 12:50 AM ICT,2.0
17-Aug-23 12:55 AM ICT,2.0
17-Aug-23 1:00 AM ICT,2.0
17-Aug-23 1:05 AM ICT,2.0
17-Aug-23 1:10 AM ICT,2.0
17-Aug-23 1:15 AM ICT,2.0
17-Aug-23 1:20 AM ICT,2.1
17-Aug-23 1:25 AM ICT,2.3
17-Aug-23 1:30 AM ICT,2.2
17-Aug-23 1:35 AM ICT,2.3
17-Aug-23 1:40 AM ICT,2.2
17-Aug-23 1:45 AM ICT,2.2
17-Aug-23 1:50 AM ICT,2.0
17-Aug-23 1:55 AM ICT,2.0
17-Aug-23 2:00 AM ICT,2.0
17-Aug-23 2:05 AM ICT,2.0
17-Aug-23 2:10 AM ICT,2.0
17-Aug-23 2:15 AM ICT,2.0
17-Aug-23 2:20 AM ICT,1.9
17-Aug-23 2:25 AM ICT,2.0
17-Aug-23 2:30 AM ICT,2.1
17-Aug-23 2:35 AM ICT,2.1
17-Aug-23 2:40 AM ICT,2.1
17-Aug-23 2:45 AM ICT,2.0
17-Aug-23 2:50 AM ICT,2.0
17-Aug-23 2:55 AM ICT,2.0
17-Aug-23 3:00 AM ICT,2.0
17-Aug-23 3:05 AM ICT,2.1
17-Aug-23 3:10 AM ICT,2.2
17-Aug-23 3:15 AM ICT,2.2
17-Aug-23 3:20 AM ICT,2.2
17-Aug-23 3:25 AM ICT,2.2
17-Aug-23 3:30 AM ICT,2.2
17-Aug-23 3:35 AM ICT,2.0
17-Aug-23 3:40 AM ICT,2.1
17-Aug-23 3:45 AM ICT,2.1
17-Aug-23 3:50 AM ICT,2.1
17-Aug-23 3:55 AM ICT,2.0
17-Aug-23 4:00 AM ICT,1.9
17-Aug-23 4:05 AM ICT,2.0
17-Aug-23 4:10 AM ICT,2.1
17-Aug-23 4:15 AM ICT,2.0
17-Aug-23 4:20 AM ICT,2.0
17-Aug-23 4:25 AM ICT,2.0
17-Aug-23 4:30 AM ICT,2.0
17-Aug-23 4:35 AM ICT,2.0
17-Aug-23 4:40 AM ICT,2.0
17-Aug-23 4:45 AM ICT,2.0
17-Aug-23 4:50 AM ICT,2.1
17-Aug-23 4:55 AM ICT,2.1
17-Aug-23 5:00 AM ICT,2.1
17-Aug-23 5:05 AM ICT,2.1
17-Aug-23 5:10 AM ICT,2.1
17-Aug-23 5:15 AM ICT,2.0
17-Aug-23 5:20 AM ICT,1.9
17-Aug-23 5:25 AM ICT,2.1
17-Aug-23 5:30 AM ICT,1.9
17-Aug-23 5:35 AM ICT,1.3
17-Aug-23 5:40 AM ICT,1.0
17-Aug-23 5:45 AM ICT,0.9
17-Aug-23 5:50 AM ICT,0.9
17-Aug-23 5:55 AM ICT,0.7
17-Aug-23 6:00 AM ICT,0.9
17-Aug-23 6:05 AM ICT,0.8
17-Aug-23 6:10 AM ICT,0.8
17-Aug-23 6:15 AM ICT,0.9
17-Aug-23 6:20 AM ICT,1.0
17-Aug-23 6:25 AM ICT,1.1
17-Aug-23 6:30 AM ICT,1.1
17-Aug-23 6:35 AM ICT,1.0
17-Aug-23 6:40 AM ICT,0.9
17-Aug-23 6:45 AM ICT,1.0
17-Aug-23 6:50 AM ICT,1.0
17-Aug-23 6:55 AM ICT,1.0
17-Aug-23 7:00 AM ICT,1.0
17-Aug-23 7:05 AM ICT,1.0
17-Aug-23 7:10 AM ICT,1.1
17-Aug-23 7:15 AM ICT,1.1
17-Aug-23 7:20 AM ICT,1.0
17-Aug-23 7:25 AM ICT,1.0
17-Aug-23 7:30 AM ICT,2.5
17-Aug-23 7:35 AM ICT,3.1
17-Aug-23 7:40 AM ICT,5.1
17-Aug-23 7:45 AM ICT,4.3
17-Aug-23 7:50 AM ICT,4.5
17-Aug-23 7:55 AM ICT,5.3
17-Aug-23 8:00 AM ICT,7.8
17-Aug-23 8:05 AM ICT,8.4
17-Aug-23 8:10 AM ICT,9.7
17-Aug-23 8:15 AM ICT,10.2
17-Aug-23 8:20 AM ICT,14.2
17-Aug-23 8:25 AM ICT,12.1
17-Aug-23 8:30 AM ICT,12.0
17-Aug-23 8:35 AM ICT,15.1
17-Aug-23 8:40 AM ICT,18.5
17-Aug-23 8:45 AM ICT,17.0
17-Aug-23 8:50 AM ICT,16.7
17-Aug-23 8:55 AM ICT,17.1
17-Aug-23 9:00 AM ICT,19.7
17-Aug-23 9:05 AM ICT,26.5
17-Aug-23 9:10 AM ICT,24.0
17-Aug-23 9:15 AM ICT,22.2
17-Aug-23 9:20 AM ICT,22.8
17-Aug-23 9:25 AM ICT,23.3
17-Aug-23 9:30 AM ICT,23.0
17-Aug-23 9:35 AM ICT,22.5
17-Aug-23 9:40 AM ICT,19.0
17-Aug-23 9:45 AM ICT,19.4
17-Aug-23 9:50 AM ICT,20.2
17-Aug-23 9:55 AM ICT,22.0
17-Aug-23 10:00 AM ICT,22.0
17-Aug-23 10:05 AM ICT,25.0
17-Aug-23 10:10 AM ICT,26.0
17-Aug-23 10:15 AM ICT,34.0
17-Aug-23 10:20 AM ICT,24.6
17-Aug-23 10:25 AM ICT,19.9
17-Aug-23 10:30 AM ICT,18.1
17-Aug-23 10:35 AM ICT,21.4
