Timestamp,GS_KW(kW)
16-Oct-23 4:45 AM ICT,2.5
16-Oct-23 4:50 AM ICT,2.4
16-Oct-23 4:55 AM ICT,2.4
16-Oct-23 5:00 AM ICT,2.5
16-Oct-23 5:05 AM ICT,2.5
16-Oct-23 5:10 AM ICT,2.5
16-Oct-23 5:15 AM ICT,2.3
16-Oct-23 5:20 AM ICT,2.1
16-Oct-23 5:25 AM ICT,1.9
16-Oct-23 5:30 AM ICT,1.6
16-Oct-23 5:35 AM ICT,1.6
16-Oct-23 5:40 AM ICT,1.6
16-Oct-23 5:45 AM ICT,1.5
16-Oct-23 5:50 AM ICT,1.5
16-Oct-23 5:55 AM ICT,1.5
16-Oct-23 6:00 AM ICT,1.4
16-Oct-23 6:05 AM ICT,1.3
16-Oct-23 6:10 AM ICT,1.1
16-Oct-23 6:15 AM ICT,1.0
16-Oct-23 6:20 AM ICT,1.0
16-Oct-23 6:25 AM ICT,1.0
16-Oct-23 6:30 AM ICT,1.0
16-Oct-23 6:35 AM ICT,1.1
16-Oct-23 6:40 AM ICT,1.2
16-Oct-23 6:45 AM ICT,1.2
16-Oct-23 6:50 AM ICT,1.3
16-Oct-23 6:55 AM ICT,1.3
16-Oct-23 7:00 AM ICT,1.2
16-Oct-23 7:05 AM ICT,1.2
16-Oct-23 7:10 AM ICT,1.2
16-Oct-23 7:15 AM ICT,1.2
16-Oct-23 7:20 AM ICT,1.9
16-Oct-23 7:25 AM ICT,9.8
16-Oct-23 7:30 AM ICT,9.7
16-Oct-23 7:35 AM ICT,3.4
16-Oct-23 7:40 AM ICT,6.9
16-Oct-23 7:45 AM ICT,4.4
16-Oct-23 7:50 AM ICT,7.8
16-Oct-23 7:55 AM ICT,4.8
16-Oct-23 8:00 AM ICT,8.4
16-Oct-23 8:05 AM ICT,6.8
16-Oct-23 8:10 AM ICT,11.5
16-Oct-23 8:15 AM ICT,12.6
16-Oct-23 8:20 AM ICT,14.7
16-Oct-23 8:25 AM ICT,16.6
16-Oct-23 8:30 AM ICT,18.0
16-Oct-23 8:35 AM ICT,27.5
16-Oct-23 8:40 AM ICT,26.5
16-Oct-23 8:45 AM ICT,25.9
16-Oct-23 8:50 AM ICT,28.9
16-Oct-23 8:55 AM ICT,25.1
16-Oct-23 9:00 AM ICT,27.2
16-Oct-23 9:05 AM ICT,32.2
16-Oct-23 9:10 AM ICT,31.9
16-Oct-23 9:15 AM ICT,33.8
16-Oct-23 9:20 AM ICT,33.7
16-Oct-23 9:25 AM ICT,29.8
16-Oct-23 9:30 AM ICT,32.4
16-Oct-23 9:35 AM ICT,27.7
16-Oct-23 9:40 AM ICT,30.6
16-Oct-23 9:45 AM ICT,28.9
16-Oct-23 9:50 AM ICT,31.0
16-Oct-23 9:55 AM ICT,41.4
16-Oct-23 10:00 AM ICT,36.7
16-Oct-23 10:05 AM ICT,29.3
