Timestamp,ACE_KW(kW)
07-Aug-23 2:35 PM ICT,102.6
07-Aug-23 2:40 PM ICT,96.8
07-Aug-23 2:45 PM ICT,91.3
07-Aug-23 2:50 PM ICT,69.8
07-Aug-23 2:55 PM ICT,71.1
07-Aug-23 3:00 PM ICT,70.1
07-Aug-23 3:05 PM ICT,60.6
07-Aug-23 3:10 PM ICT,53.2
07-Aug-23 3:15 PM ICT,46.6
07-Aug-23 3:20 PM ICT,42.1
07-Aug-23 3:25 PM ICT,35.9
07-Aug-23 3:30 PM ICT,30.8
07-Aug-23 3:35 PM ICT,31.4
07-Aug-23 3:40 PM ICT,26.2
07-Aug-23 3:45 PM ICT,22.4
07-Aug-23 3:50 PM ICT,19.8
07-Aug-23 3:55 PM ICT,25.7
07-Aug-23 4:00 PM ICT,20.1
07-Aug-23 4:05 PM ICT,19.0
07-Aug-23 4:10 PM ICT,12.5
07-Aug-23 4:15 PM ICT,9.7
07-Aug-23 4:20 PM ICT,7.2
07-Aug-23 4:25 PM ICT,7.7
07-Aug-23 4:30 PM ICT,5.4
07-Aug-23 4:35 PM ICT,5.5
07-Aug-23 4:40 PM ICT,5.6
07-Aug-23 4:45 PM ICT,3.8
07-Aug-23 4:50 PM ICT,6.7
07-Aug-23 4:55 PM ICT,8.6
07-Aug-23 5:00 PM ICT,9.3
07-Aug-23 5:05 PM ICT,6.6
07-Aug-23 5:10 PM ICT,6.7
07-Aug-23 5:15 PM ICT,4.8
07-Aug-23 5:20 PM ICT,5.6
07-Aug-23 5:25 PM ICT,6.2
07-Aug-23 5:30 PM ICT,4.3
07-Aug-23 5:35 PM ICT,4.5
07-Aug-23 5:40 PM ICT,4.3
07-Aug-23 5:45 PM ICT,4.2
07-Aug-23 5:50 PM ICT,3.7
07-Aug-23 5:55 PM ICT,3.7
07-Aug-23 6:00 PM ICT,3.1
07-Aug-23 6:05 PM ICT,2.2
07-Aug-23 6:10 PM ICT,1.4
07-Aug-23 6:15 PM ICT,0.6
07-Aug-23 6:20 PM ICT,0.2
07-Aug-23 6:25 PM ICT,0.4
07-Aug-23 6:30 PM ICT,1.0
07-Aug-23 6:35 PM ICT,1.0
07-Aug-23 6:40 PM ICT,0.7
07-Aug-23 6:45 PM ICT,0.3
07-Aug-23 6:50 PM ICT,0.4
07-Aug-23 6:55 PM ICT,0.4
07-Aug-23 7:00 PM ICT,0.4
07-Aug-23 7:05 PM ICT,0.5
07-Aug-23 7:10 PM ICT,0.5
07-Aug-23 7:15 PM ICT,0.5
07-Aug-23 7:20 PM ICT,0.6
07-Aug-23 7:25 PM ICT,0.5
07-Aug-23 7:30 PM ICT,0.6
07-Aug-23 7:35 PM ICT,0.6
07-Aug-23 7:40 PM ICT,0.8
07-Aug-23 7:45 PM ICT,0.7
07-Aug-23 7:50 PM ICT,0.7
07-Aug-23 7:55 PM ICT,0.6
07-Aug-23 8:00 PM ICT,0.4
07-Aug-23 8:05 PM ICT,0.4
07-Aug-23 8:10 PM ICT,0.5
07-Aug-23 8:15 PM ICT,0.7
07-Aug-23 8:20 PM ICT,0.5
07-Aug-23 8:25 PM ICT,0.5
07-Aug-23 8:30 PM ICT,0.5
07-Aug-23 8:35 PM ICT,0.5
07-Aug-23 8:40 PM ICT,0.4
07-Aug-23 8:45 PM ICT,0.4
07-Aug-23 8:50 PM ICT,0.5
07-Aug-23 8:55 PM ICT,0.3
07-Aug-23 9:00 PM ICT,0.4
07-Aug-23 9:05 PM ICT,0.5
07-Aug-23 9:10 PM ICT,0.6
07-Aug-23 9:15 PM ICT,0.6
07-Aug-23 9:20 PM ICT,0.5
07-Aug-23 9:25 PM ICT,0.8
07-Aug-23 9:30 PM ICT,0.8
07-Aug-23 9:35 PM ICT,0.7
07-Aug-23 9:40 PM ICT,0.5
07-Aug-23 9:45 PM ICT,0.4
07-Aug-23 9:50 PM ICT,0.4
07-Aug-23 9:55 PM ICT,0.4
07-Aug-23 10:00 PM ICT,0.6
07-Aug-23 10:05 PM ICT,0.3
07-Aug-23 10:10 PM ICT,0.3
07-Aug-23 10:15 PM ICT,0.4
07-Aug-23 10:20 PM ICT,0.4
07-Aug-23 10:25 PM ICT,0.4
07-Aug-23 10:30 PM ICT,0.3
07-Aug-23 10:35 PM ICT,0.5
07-Aug-23 10:40 PM ICT,0.5
07-Aug-23 10:45 PM ICT,0.6
07-Aug-23 10:50 PM ICT,0.8
07-Aug-23 10:55 PM ICT,0.7
07-Aug-23 11:00 PM ICT,0.5
07-Aug-23 11:05 PM ICT,0.6
07-Aug-23 11:10 PM ICT,0.9
07-Aug-23 11:15 PM ICT,0.5
07-Aug-23 11:20 PM ICT,0.4
07-Aug-23 11:25 PM ICT,0.3
07-Aug-23 11:30 PM ICT,0.4
07-Aug-23 11:35 PM ICT,0.5
07-Aug-23 11:40 PM ICT,0.4
07-Aug-23 11:45 PM ICT,0.3
07-Aug-23 11:50 PM ICT,0.5
07-Aug-23 11:55 PM ICT,0.4
08-Aug-23 12:00 AM ICT,0.4
08-Aug-23 12:05 AM ICT,0.5
08-Aug-23 12:10 AM ICT,0.5
08-Aug-23 12:15 AM ICT,0.4
08-Aug-23 12:20 AM ICT,0.5
08-Aug-23 12:25 AM ICT,1.0
08-Aug-23 12:30 AM ICT,0.8
08-Aug-23 12:35 AM ICT,0.6
08-Aug-23 12:40 AM ICT,0.5
08-Aug-23 12:45 AM ICT,0.4
08-Aug-23 12:50 AM ICT,0.5
08-Aug-23 12:55 AM ICT,0.4
08-Aug-23 1:00 AM ICT,0.5
08-Aug-23 1:05 AM ICT,0.3
08-Aug-23 1:10 AM ICT,0.3
08-Aug-23 1:15 AM ICT,0.5
08-Aug-23 1:20 AM ICT,0.4
08-Aug-23 1:25 AM ICT,0.4
08-Aug-23 1:30 AM ICT,0.3
08-Aug-23 1:35 AM ICT,0.5
08-Aug-23 1:40 AM ICT,0.6
08-Aug-23 1:45 AM ICT,0.8
08-Aug-23 1:50 AM ICT,0.7
08-Aug-23 1:55 AM ICT,0.7
08-Aug-23 2:00 AM ICT,0.6
08-Aug-23 2:05 AM ICT,0.6
08-Aug-23 2:10 AM ICT,0.4
08-Aug-23 2:15 AM ICT,0.6
08-Aug-23 2:20 AM ICT,0.3
08-Aug-23 2:25 AM ICT,0.3
08-Aug-23 2:30 AM ICT,0.4
08-Aug-23 2:35 AM ICT,0.4
08-Aug-23 2:40 AM ICT,0.4
08-Aug-23 2:45 AM ICT,0.3
08-Aug-23 2:50 AM ICT,0.5
08-Aug-23 2:55 AM ICT,0.4
08-Aug-23 3:00 AM ICT,0.4
08-Aug-23 3:05 AM ICT,0.6
08-Aug-23 3:10 AM ICT,0.7
08-Aug-23 3:15 AM ICT,0.7
08-Aug-23 3:20 AM ICT,0.8
08-Aug-23 3:25 AM ICT,0.7
08-Aug-23 3:30 AM ICT,0.4
08-Aug-23 3:35 AM ICT,0.3
08-Aug-23 3:40 AM ICT,0.3
08-Aug-23 3:45 AM ICT,0.4
08-Aug-23 3:50 AM ICT,0.5
08-Aug-23 3:55 AM ICT,0.4
08-Aug-23 4:00 AM ICT,0.5
08-Aug-23 4:05 AM ICT,0.4
08-Aug-23 4:10 AM ICT,0.4
08-Aug-23 4:15 AM ICT,0.4
08-Aug-23 4:20 AM ICT,0.6
08-Aug-23 4:25 AM ICT,0.5
08-Aug-23 4:30 AM ICT,0.5
08-Aug-23 4:35 AM ICT,0.7
08-Aug-23 4:40 AM ICT,0.6
08-Aug-23 4:45 AM ICT,0.6
08-Aug-23 4:50 AM ICT,0.5
