Timestamp,SURE_KW(kW)
16-Oct-23 1:10 PM ICT,5.5
16-Oct-23 1:15 PM ICT,8.1
16-Oct-23 1:20 PM ICT,5.8
16-Oct-23 1:25 PM ICT,7.7
16-Oct-23 1:30 PM ICT,5.2
16-Oct-23 1:35 PM ICT,9.3
16-Oct-23 1:40 PM ICT,7.3
16-Oct-23 1:45 PM ICT,7.9
16-Oct-23 1:50 PM ICT,7.3
16-Oct-23 1:55 PM ICT,7.2
16-Oct-23 2:00 PM ICT,10.4
16-Oct-23 2:05 PM ICT,5.5
16-Oct-23 2:10 PM ICT,11.7
16-Oct-23 2:15 PM ICT,10.4
16-Oct-23 2:20 PM ICT,9.5
16-Oct-23 2:25 PM ICT,8.7
16-Oct-23 2:30 PM ICT,7.0
16-Oct-23 2:35 PM ICT,9.5
16-Oct-23 2:40 PM ICT,6.7
16-Oct-23 2:45 PM ICT,6.6
16-Oct-23 2:50 PM ICT,8.4
16-Oct-23 2:55 PM ICT,9.3
16-Oct-23 3:00 PM ICT,9.5
16-Oct-23 3:05 PM ICT,9.9
16-Oct-23 3:10 PM ICT,8.4
16-Oct-23 3:15 PM ICT,9.0
16-Oct-23 3:20 PM ICT,8.9
16-Oct-23 3:25 PM ICT,7.8
16-Oct-23 3:30 PM ICT,9.7
16-Oct-23 3:35 PM ICT,8.8
16-Oct-23 3:40 PM ICT,9.3
16-Oct-23 3:45 PM ICT,10.6
16-Oct-23 3:50 PM ICT,7.0
16-Oct-23 3:55 PM ICT,9.6
16-Oct-23 4:00 PM ICT,10.7
16-Oct-23 4:05 PM ICT,12.0
16-Oct-23 4:10 PM ICT,9.4
16-Oct-23 4:15 PM ICT,10.5
16-Oct-23 4:20 PM ICT,8.6
16-Oct-23 4:25 PM ICT,8.5
16-Oct-23 4:30 PM ICT,8.0
16-Oct-23 4:35 PM ICT,7.0
16-Oct-23 4:40 PM ICT,9.9
16-Oct-23 4:45 PM ICT,8.1
16-Oct-23 4:50 PM ICT,7.5
16-Oct-23 4:55 PM ICT,5.9
16-Oct-23 5:00 PM ICT,6.0
16-Oct-23 5:05 PM ICT,1.9
16-Oct-23 5:10 PM ICT,2.8
16-Oct-23 5:15 PM ICT,1.5
16-Oct-23 5:20 PM ICT,1.1
16-Oct-23 5:25 PM ICT,0.3
16-Oct-23 5:30 PM ICT,0.6
16-Oct-23 5:35 PM ICT,0.5
16-Oct-23 5:40 PM ICT,0.4
16-Oct-23 5:45 PM ICT,0.7
16-Oct-23 5:50 PM ICT,0.6
16-Oct-23 5:55 PM ICT,1.2
16-Oct-23 6:00 PM ICT,1.4
16-Oct-23 6:05 PM ICT,1.1
16-Oct-23 6:10 PM ICT,1.2
16-Oct-23 6:15 PM ICT,1.5
16-Oct-23 6:20 PM ICT,1.3
16-Oct-23 6:25 PM ICT,1.3
16-Oct-23 6:30 PM ICT,1.5
16-Oct-23 6:35 PM ICT,1.3
16-Oct-23 6:40 PM ICT,1.4
16-Oct-23 6:45 PM ICT,1.2
16-Oct-23 6:50 PM ICT,1.2
16-Oct-23 6:55 PM ICT,1.7
16-Oct-23 7:00 PM ICT,1.5
16-Oct-23 7:05 PM ICT,1.5
16-Oct-23 7:10 PM ICT,1.7
16-Oct-23 7:15 PM ICT,1.5
16-Oct-23 7:20 PM ICT,1.5
16-Oct-23 7:25 PM ICT,1.6
16-Oct-23 7:30 PM ICT,1.4
16-Oct-23 7:35 PM ICT,1.7
16-Oct-23 7:40 PM ICT,1.5
16-Oct-23 7:45 PM ICT,1.5
16-Oct-23 7:50 PM ICT,1.7
16-Oct-23 7:55 PM ICT,1.4
16-Oct-23 8:00 PM ICT,1.4
