Timestamp,SURE_KW(kW)
01-Jan-24 1:05 AM ICT,0.8
01-Jan-24 1:10 AM ICT,0.8
01-Jan-24 1:15 AM ICT,1.0
01-Jan-24 1:20 AM ICT,0.7
01-Jan-24 1:25 AM ICT,0.7
01-Jan-24 1:30 AM ICT,0.8
01-Jan-24 1:35 AM ICT,1.0
01-Jan-24 1:40 AM ICT,0.8
01-Jan-24 1:45 AM ICT,0.8
01-Jan-24 1:50 AM ICT,1.0
01-Jan-24 1:55 AM ICT,0.8
01-Jan-24 2:00 AM ICT,0.7
01-Jan-24 2:05 AM ICT,0.9
01-Jan-24 2:10 AM ICT,0.8
01-Jan-24 2:15 AM ICT,0.8
01-Jan-24 2:20 AM ICT,1.0
01-Jan-24 2:25 AM ICT,0.7
01-Jan-24 2:30 AM ICT,0.7
01-Jan-24 2:35 AM ICT,0.6
01-Jan-24 2:40 AM ICT,0.8
01-Jan-24 2:45 AM ICT,0.7
01-Jan-24 2:50 AM ICT,0.7
01-Jan-24 2:55 AM ICT,0.9
01-Jan-24 3:00 AM ICT,0.7
01-Jan-24 3:05 AM ICT,0.7
01-Jan-24 3:10 AM ICT,0.8
01-Jan-24 3:15 AM ICT,0.6
01-Jan-24 3:20 AM ICT,0.6
01-Jan-24 3:25 AM ICT,0.9
01-Jan-24 3:30 AM ICT,0.8
01-Jan-24 3:35 AM ICT,0.7
01-Jan-24 3:40 AM ICT,0.7
01-Jan-24 3:45 AM ICT,0.9
01-Jan-24 3:50 AM ICT,0.7
01-Jan-24 3:55 AM ICT,0.6
01-Jan-24 4:00 AM ICT,0.9
01-Jan-24 4:05 AM ICT,0.7
01-Jan-24 4:10 AM ICT,0.7
01-Jan-24 4:15 AM ICT,1.0
01-Jan-24 4:20 AM ICT,0.8
01-Jan-24 4:25 AM ICT,0.7
01-Jan-24 4:30 AM ICT,0.8
01-Jan-24 4:35 AM ICT,0.7
01-Jan-24 4:40 AM ICT,0.7
01-Jan-24 4:45 AM ICT,0.9
01-Jan-24 4:50 AM ICT,0.7
01-Jan-24 4:55 AM ICT,0.7
01-Jan-24 5:00 AM ICT,0.9
01-Jan-24 5:05 AM ICT,0.7
01-Jan-24 5:10 AM ICT,0.7
01-Jan-24 5:15 AM ICT,0.9
01-Jan-24 5:20 AM ICT,0.7
01-Jan-24 5:25 AM ICT,0.7
01-Jan-24 5:30 AM ICT,0.9
01-Jan-24 5:35 AM ICT,0.6
01-Jan-24 5:40 AM ICT,0.4
01-Jan-24 5:45 AM ICT,0.7
01-Jan-24 5:50 AM ICT,0.5
01-Jan-24 5:55 AM ICT,0.5
01-Jan-24 6:00 AM ICT,0.7
01-Jan-24 6:05 AM ICT,0.5
01-Jan-24 6:10 AM ICT,0.4
01-Jan-24 6:15 AM ICT,0.6
01-Jan-24 6:20 AM ICT,0.3
01-Jan-24 6:25 AM ICT,0.5
01-Jan-24 6:30 AM ICT,0.6
01-Jan-24 6:35 AM ICT,0.6
01-Jan-24 6:40 AM ICT,0.5
01-Jan-24 6:45 AM ICT,0.5
01-Jan-24 6:50 AM ICT,0.6
01-Jan-24 6:55 AM ICT,0.3
01-Jan-24 7:00 AM ICT,0.4
01-Jan-24 7:05 AM ICT,0.7
01-Jan-24 7:10 AM ICT,0.5
